time_s,time_ps,source_V,analytic_rx_V,tool_rx_V,tool_minus_analytic_V
0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.6020852139652106e-18,2.6020852139652106e-18
9.9999999999999998e-13,1.0000000000000000e+00,5.0000000000000003e-02,0.0000000000000000e+00,-7.6219412725730962e-17,-7.6219412725730962e-17
2.0000000000000000e-12,2.0000000000000000e+00,1.0000000000000001e-01,0.0000000000000000e+00,-7.7412035115465017e-17,-7.7412035115465017e-17
3.0000000000000001e-12,3.0000000000000000e+00,1.5000000000000002e-01,0.0000000000000000e+00,-1.2240642527361345e-16,-1.2240642527361345e-16
3.9999999999999999e-12,4.0000000000000000e+00,2.0000000000000001e-01,0.0000000000000000e+00,-1.2316536679435330e-16,-1.2316536679435330e-16
4.9999999999999997e-12,5.0000000000000000e+00,2.5000000000000000e-01,0.0000000000000000e+00,-1.6544925152128798e-16,-1.6544925152128798e-16
6.0000000000000003e-12,6.0000000000000000e+00,3.0000000000000004e-01,0.0000000000000000e+00,-1.5981140022436335e-16,-1.5981140022436335e-16
7.0000000000000001e-12,7.0000000000000000e+00,3.5000000000000003e-01,0.0000000000000000e+00,-2.1575623232461538e-16,-2.1575623232461538e-16
7.9999999999999998e-12,8.0000000000000000e+00,4.0000000000000002e-01,0.0000000000000000e+00,-1.9895109865109006e-16,-1.9895109865109006e-16
8.9999999999999996e-12,9.0000000000000000e+00,4.5000000000000001e-01,0.0000000000000000e+00,-2.4524653141622110e-16,-2.4524653141622110e-16
9.9999999999999994e-12,1.0000000000000000e+01,5.0000000000000000e-01,0.0000000000000000e+00,-2.6834003769016235e-16,-2.6834003769016235e-16
1.0999999999999999e-11,1.1000000000000000e+01,5.5000000000000004e-01,0.0000000000000000e+00,-2.9587877287129416e-16,-2.9587877287129416e-16
1.2000000000000001e-11,1.2000000000000000e+01,6.0000000000000009e-01,0.0000000000000000e+00,-3.0227556568895864e-16,-3.0227556568895864e-16
1.3000000000000000e-11,1.3000000000000000e+01,6.5000000000000002e-01,0.0000000000000000e+00,-3.5616041366148821e-16,-3.5616041366148821e-16
1.4000000000000000e-11,1.4000000000000000e+01,7.0000000000000007e-01,0.0000000000000000e+00,-3.6494245125862079e-16,-3.6494245125862079e-16
1.5000000000000000e-11,1.5000000000000000e+01,7.5000000000000000e-01,0.0000000000000000e+00,-4.1405680967221414e-16,-4.1405680967221414e-16
1.6000000000000000e-11,1.6000000000000000e+01,8.0000000000000004e-01,0.0000000000000000e+00,-4.1687573532067645e-16,-4.1687573532067645e-16
1.6999999999999999e-11,1.7000000000000000e+01,8.5000000000000009e-01,0.0000000000000000e+00,-4.6490589156178430e-16,-4.6490589156178430e-16
1.7999999999999999e-11,1.8000000000000000e+01,9.0000000000000002e-01,0.0000000000000000e+00,-4.5883435939586548e-16,-4.5883435939586548e-16
1.8999999999999999e-11,1.9000000000000000e+01,9.5000000000000007e-01,0.0000000000000000e+00,-5.1000870193718129e-16,-5.1000870193718129e-16
1.9999999999999999e-11,2.0000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.1369498932363200e-16,-5.1369498932363200e-16
2.0999999999999999e-11,2.1000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-4.9504671195688132e-16,-4.9504671195688132e-16
2.1999999999999998e-11,2.2000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-4.9743195673634943e-16,-4.9743195673634943e-16
2.2999999999999998e-11,2.3000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.1434551062712330e-16,-5.1434551062712330e-16
2.4000000000000001e-11,2.4000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-4.9938352064682334e-16,-4.9938352064682334e-16
2.5000000000000001e-11,2.5000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.2215176626901894e-16,-5.2215176626901894e-16
2.6000000000000001e-11,2.6000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.1120132432691534e-16,-5.1120132432691534e-16
2.7000000000000000e-11,2.7000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.2724751647970081e-16,-5.2724751647970081e-16
2.8000000000000000e-11,2.8000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.4546211297745728e-16,-5.4546211297745728e-16
2.9000000000000000e-11,2.9000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.4296844798074062e-16,-5.4296844798074062e-16
3.0000000000000000e-11,3.0000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.3527061255609354e-16,-5.3527061255609354e-16
3.0999999999999996e-11,3.1000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.4557053319470583e-16,-5.4557053319470583e-16
3.1999999999999999e-11,3.2000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.2095914387928488e-16,-5.2095914387928488e-16
3.3000000000000002e-11,3.3000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.3895689994254425e-16,-5.3895689994254425e-16
3.3999999999999999e-11,3.4000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.1315288823738925e-16,-5.1315288823738925e-16
3.5000000000000002e-11,3.5000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.3613797429408194e-16,-5.3613797429408194e-16
3.5999999999999998e-11,3.6000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.2432017061398994e-16,-5.2432017061398994e-16
3.7000000000000001e-11,3.7000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.0274454738152841e-16,-5.0274454738152841e-16
3.7999999999999998e-11,3.8000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.2768119734869501e-16,-5.2768119734869501e-16
3.9000000000000001e-11,3.9000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.1857389909981677e-16,-5.1857389909981677e-16
3.9999999999999998e-11,4.0000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.2572963343822110e-16,-5.2572963343822110e-16
4.1000000000000001e-11,4.1000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.1087606367516969e-16,-5.1087606367516969e-16
4.1999999999999997e-11,4.2000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.0068456325380595e-16,-5.0068456325380595e-16
4.3000000000000000e-11,4.3000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-4.9125200435318206e-16,-4.9125200435318206e-16
4.3999999999999997e-11,4.4000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-4.9493829173963277e-16,-4.9493829173963277e-16
4.5000000000000000e-11,4.5000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.0523821237824507e-16,-5.0523821237824507e-16
4.5999999999999996e-11,4.6000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-4.9656459499836103e-16,-4.9656459499836103e-16
4.6999999999999999e-11,4.7000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-5.0502137194374797e-16,-5.0502137194374797e-16
4.8000000000000002e-11,4.8000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,-4.9016780218069655e-16,-4.9016780218069655e-16
