time_s	input_norm	out0001_tx1_rx2	out0002_tx1_rx2
0.000E+00	0.000E+00	1.301E-17	1.952E-18
2.000E-12	1.000E-01	5.000E-02	-1.000E-02
4.000E-12	2.000E-01	1.000E-01	-2.000E-02
6.000E-12	3.000E-01	1.500E-01	-3.000E-02
8.000E-12	4.000E-01	2.000E-01	-4.000E-02
1.000E-11	5.000E-01	2.500E-01	-5.000E-02
1.200E-11	6.000E-01	3.000E-01	-6.000E-02
1.400E-11	7.000E-01	3.500E-01	-7.000E-02
1.600E-11	8.000E-01	4.000E-01	-8.000E-02
1.800E-11	9.000E-01	4.500E-01	-9.000E-02
2.000E-11	1.000E+00	5.000E-01	-1.000E-01
2.200E-11	1.000E+00	5.000E-01	-1.000E-01
2.400E-11	1.000E+00	5.000E-01	-1.000E-01
2.600E-11	1.000E+00	5.000E-01	-1.000E-01
2.800E-11	1.000E+00	5.000E-01	-1.000E-01
3.000E-11	1.000E+00	5.000E-01	-1.000E-01
3.200E-11	1.000E+00	5.000E-01	-1.000E-01
3.400E-11	1.000E+00	5.000E-01	-1.000E-01
3.600E-11	1.000E+00	5.000E-01	-1.000E-01
3.800E-11	1.000E+00	5.000E-01	-1.000E-01
4.000E-11	1.000E+00	5.000E-01	-1.000E-01
4.200E-11	1.000E+00	5.000E-01	-1.000E-01
4.400E-11	1.000E+00	5.000E-01	-1.000E-01
4.600E-11	1.000E+00	5.000E-01	-1.000E-01
4.800E-11	1.000E+00	5.000E-01	-1.000E-01
5.000E-11	1.000E+00	5.000E-01	-1.000E-01
5.200E-11	1.000E+00	5.000E-01	-1.000E-01
5.400E-11	1.000E+00	5.000E-01	-1.000E-01
5.600E-11	1.000E+00	5.000E-01	-1.000E-01
5.800E-11	1.000E+00	5.000E-01	-1.000E-01
6.000E-11	1.000E+00	5.000E-01	-1.000E-01
6.200E-11	1.000E+00	5.000E-01	-1.000E-01
6.400E-11	1.000E+00	5.000E-01	-1.000E-01
6.600E-11	1.000E+00	5.000E-01	-1.000E-01
6.800E-11	1.000E+00	5.000E-01	-1.000E-01
7.000E-11	1.000E+00	5.000E-01	-1.000E-01
7.200E-11	1.000E+00	5.000E-01	-1.000E-01
7.400E-11	1.000E+00	5.000E-01	-1.000E-01
7.600E-11	1.000E+00	5.000E-01	-1.000E-01
7.800E-11	1.000E+00	5.000E-01	-1.000E-01
8.000E-11	1.000E+00	5.000E-01	-1.000E-01
8.200E-11	1.000E+00	5.000E-01	-1.000E-01
8.400E-11	1.000E+00	5.000E-01	-1.000E-01
8.600E-11	1.000E+00	5.000E-01	-1.000E-01
8.800E-11	1.000E+00	5.000E-01	-1.000E-01
9.000E-11	1.000E+00	5.000E-01	-1.000E-01
9.200E-11	1.000E+00	5.000E-01	-1.000E-01
9.400E-11	1.000E+00	5.000E-01	-1.000E-01
9.600E-11	1.000E+00	5.000E-01	-1.000E-01
9.800E-11	1.000E+00	5.000E-01	-1.000E-01
1.000E-10	1.000E+00	5.000E-01	-1.000E-01
1.020E-10	9.000E-01	4.500E-01	-9.000E-02
1.040E-10	8.000E-01	4.000E-01	-8.000E-02
1.060E-10	7.000E-01	3.500E-01	-7.000E-02
1.080E-10	6.000E-01	3.000E-01	-6.000E-02
1.100E-10	5.000E-01	2.500E-01	-5.000E-02
1.120E-10	4.000E-01	2.000E-01	-4.000E-02
1.140E-10	3.000E-01	1.500E-01	-3.000E-02
1.160E-10	2.000E-01	1.000E-01	-2.000E-02
1.180E-10	1.000E-01	5.000E-02	-1.000E-02
1.200E-10	0.000E+00	-2.516E-17	-7.556E-18
1.220E-10	0.000E+00	2.862E-17	-9.308E-18
1.240E-10	0.000E+00	5.148E-19	-7.071E-18
1.260E-10	0.000E+00	1.125E-17	-9.598E-18
1.280E-10	0.000E+00	-1.792E-17	-4.615E-18
1.300E-10	0.000E+00	7.826E-17	-1.395E-17
1.320E-10	0.000E+00	3.435E-17	-5.520E-18
1.340E-10	0.000E+00	-1.328E-17	-1.210E-17
1.360E-10	0.000E+00	8.376E-18	-1.159E-17
1.380E-10	0.000E+00	3.207E-17	-1.354E-17
1.400E-10	0.000E+00	2.657E-17	-8.884E-18
1.420E-10	0.000E+00	8.418E-19	-9.497E-18
1.440E-10	0.000E+00	-4.907E-18	-2.961E-18
1.460E-10	0.000E+00	3.967E-17	-1.584E-17
1.480E-10	0.000E+00	3.350E-17	-9.603E-18
1.500E-10	0.000E+00	-3.308E-17	-1.113E-17
1.520E-10	0.000E+00	1.549E-17	-1.123E-17
1.540E-10	0.000E+00	5.593E-17	-8.884E-18
1.560E-10	0.000E+00	1.963E-17	-1.144E-17
1.580E-10	0.000E+00	-7.781E-18	-8.884E-18
1.600E-10	0.000E+00	-3.596E-17	-8.376E-18
1.620E-10	0.000E+00	4.128E-17	-8.238E-19
1.640E-10	0.000E+00	5.110E-17	-4.398E-18
1.660E-10	0.000E+00	-4.044E-17	-1.419E-18
1.680E-10	0.000E+00	-2.166E-17	8.238E-19
1.700E-10	0.000E+00	2.874E-18	-1.332E-18
1.720E-10	0.000E+00	3.003E-17	-6.440E-18
1.740E-10	0.000E+00	1.894E-18	-6.843E-18
1.760E-10	0.000E+00	-2.699E-17	3.627E-18
1.780E-10	0.000E+00	-2.106E-17	-5.607E-19
1.800E-10	0.000E+00	6.467E-18	-7.106E-18
1.820E-10	0.000E+00	-3.624E-17	3.654E-18
1.840E-10	0.000E+00	-4.882E-17	7.140E-19
1.860E-10	0.000E+00	-5.012E-18	-6.589E-18
1.880E-10	0.000E+00	3.615E-17	-8.193E-19
1.900E-10	0.000E+00	-2.274E-17	-7.294E-18
1.920E-10	0.000E+00	-2.617E-17	3.062E-18
1.940E-10	0.000E+00	-2.346E-18	2.119E-18
1.960E-10	0.000E+00	9.139E-18	5.648E-18
1.980E-10	0.000E+00	-7.192E-17	-4.632E-18
2.000E-10	0.000E+00	-1.263E-17	2.274E-18
2.020E-10	0.000E+00	-4.479E-17	-6.102E-18
2.040E-10	0.000E+00	2.464E-17	-4.907E-18
2.060E-10	0.000E+00	-5.858E-17	-9.826E-19
2.080E-10	0.000E+00	-5.202E-17	5.754E-18
2.100E-10	0.000E+00	-7.002E-17	-7.008E-20
2.120E-10	0.000E+00	-2.831E-18	-4.845E-18
2.140E-10	0.000E+00	-4.958E-17	6.330E-18
2.160E-10	0.000E+00	-1.307E-17	-4.471E-18
2.180E-10	0.000E+00	-1.746E-17	-8.871E-19
2.200E-10	0.000E+00	1.693E-17	-6.579E-18
2.220E-10	0.000E+00	-3.991E-17	9.535E-18
2.240E-10	0.000E+00	-3.704E-17	2.619E-18
2.260E-10	0.000E+00	-1.023E-16	1.186E-17
2.280E-10	0.000E+00	-1.172E-17	2.585E-18
2.300E-10	0.000E+00	-4.738E-17	6.532E-18
2.320E-10	0.000E+00	-2.490E-17	4.745E-18
2.340E-10	0.000E+00	-4.169E-17	5.479E-18
2.360E-10	0.000E+00	5.751E-17	-1.321E-17
2.380E-10	0.000E+00	-1.640E-17	-7.481E-19
2.400E-10	0.000E+00	-2.055E-17	1.964E-18
2.420E-10	0.000E+00	-8.235E-17	7.649E-18
2.440E-10	0.000E+00	-1.314E-17	4.371E-18
2.460E-10	0.000E+00	-4.107E-17	3.028E-18
2.480E-10	0.000E+00	-2.841E-17	1.102E-17
2.500E-10	0.000E+00	-7.298E-17	1.176E-17
2.520E-10	0.000E+00	9.491E-18	-4.957E-18
2.540E-10	0.000E+00	-3.769E-17	4.549E-18
2.560E-10	0.000E+00	6.072E-18	7.156E-18
2.580E-10	0.000E+00	-4.510E-17	6.939E-18
2.600E-10	0.000E+00	-3.469E-17	6.939E-18
2.620E-10	0.000E+00	-1.388E-17	-4.337E-18
2.640E-10	0.000E+00	-3.469E-17	2.602E-18
2.660E-10	0.000E+00	-4.163E-17	7.806E-18
2.680E-10	0.000E+00	1.388E-17	-8.674E-18
2.700E-10	0.000E+00	-3.469E-17	1.128E-17
2.720E-10	0.000E+00	6.939E-18	1.735E-18
2.740E-10	0.000E+00	-3.123E-17	8.674E-19
2.760E-10	0.000E+00	0.000E+00	-5.204E-18
2.780E-10	0.000E+00	1.041E-17	-3.469E-18
2.800E-10	0.000E+00	2.429E-17	8.674E-19
2.820E-10	0.000E+00	1.041E-17	1.735E-18
2.840E-10	0.000E+00	2.776E-17	-7.806E-18
2.860E-10	0.000E+00	2.082E-17	5.204E-18
2.880E-10	0.000E+00	3.816E-17	0.000E+00
2.900E-10	0.000E+00	-4.857E-17	7.806E-18
2.920E-10	0.000E+00	-4.857E-17	5.204E-18
2.940E-10	0.000E+00	2.776E-17	8.674E-19
2.960E-10	0.000E+00	3.469E-17	-7.806E-18
2.980E-10	0.000E+00	-2.776E-17	6.072E-18
3.000E-10	0.000E+00	-2.776E-17	-7.373E-18
3.020E-10	0.000E+00	5.204E-18	3.903E-18
3.040E-10	0.000E+00	1.735E-17	4.337E-19
3.060E-10	0.000E+00	-2.776E-17	2.168E-18
3.080E-10	0.000E+00	-1.041E-17	4.337E-18
3.100E-10	0.000E+00	5.811E-17	-2.168E-19
3.120E-10	0.000E+00	2.082E-17	-1.279E-17
3.140E-10	0.000E+00	-3.209E-17	9.107E-18
3.160E-10	0.000E+00	-1.475E-17	4.120E-18
3.180E-10	0.000E+00	-3.036E-17	4.987E-18
3.200E-10	0.000E+00	1.388E-17	-3.469E-18
3.220E-10	0.000E+00	-5.551E-17	1.041E-17
3.240E-10	0.000E+00	-5.551E-17	1.735E-17
3.260E-10	0.000E+00	1.388E-17	6.939E-18
3.280E-10	0.000E+00	1.388E-17	0.000E+00
3.300E-10	0.000E+00	0.000E+00	3.469E-18
3.320E-10	0.000E+00	-6.939E-17	3.469E-18
3.340E-10	0.000E+00	-4.163E-17	2.082E-17
3.360E-10	0.000E+00	2.776E-17	0.000E+00
3.380E-10	0.000E+00	1.388E-17	6.939E-18
3.400E-10	0.000E+00	-2.776E-17	0.000E+00
3.420E-10	0.000E+00	0.000E+00	1.388E-17
3.440E-10	0.000E+00	1.388E-17	0.000E+00
3.460E-10	0.000E+00	0.000E+00	6.939E-18
3.480E-10	0.000E+00	-5.551E-17	6.939E-18
3.500E-10	0.000E+00	-4.163E-17	1.388E-17
3.520E-10	0.000E+00	-4.163E-17	-6.939E-18
3.540E-10	0.000E+00	0.000E+00	3.469E-18
3.560E-10	0.000E+00	-2.776E-17	6.939E-18
3.580E-10	0.000E+00	-1.388E-17	6.939E-18
3.600E-10	0.000E+00	0.000E+00	3.469E-18
3.620E-10	0.000E+00	-2.776E-17	0.000E+00
3.640E-10	0.000E+00	-6.939E-17	1.041E-17
3.660E-10	0.000E+00	0.000E+00	6.939E-18
3.680E-10	0.000E+00	0.000E+00	-5.204E-18
3.700E-10	0.000E+00	6.245E-17	-8.674E-19
3.720E-10	0.000E+00	4.163E-17	-7.806E-18
3.740E-10	0.000E+00	7.286E-17	-2.819E-18
3.760E-10	0.000E+00	4.535E-17	-1.539E-17
3.780E-10	0.000E+00	5.538E-17	-1.087E-17
3.800E-10	0.000E+00	5.026E-17	-8.468E-18
3.820E-10	0.000E+00	4.865E-17	-7.588E-18
3.840E-10	0.000E+00	-1.385E-17	-3.178E-18
3.860E-10	0.000E+00	2.106E-17	3.627E-18
3.880E-10	0.000E+00	4.248E-17	-1.123E-17
3.900E-10	0.000E+00	3.003E-17	4.442E-18
3.920E-10	0.000E+00	-1.938E-17	6.177E-18
3.940E-10	0.000E+00	3.950E-17	-4.144E-18
3.960E-10	0.000E+00	3.469E-17	1.945E-18
3.980E-10	0.000E+00	6.590E-18	-2.558E-18
4.000E-10	0.000E+00	-6.617E-17	5.415E-18
4.020E-10	0.000E+00	1.192E-17	7.255E-18
4.040E-10	0.000E+00	-1.963E-17	1.206E-17
4.060E-10	0.000E+00	-3.308E-17	1.460E-17
4.080E-10	0.000E+00	-4.002E-17	1.246E-17
4.100E-10	0.000E+00	-2.733E-17	6.431E-18
4.120E-10	0.000E+00	1.388E-17	5.309E-18
4.140E-10	0.000E+00	-1.016E-17	4.994E-18
4.160E-10	0.000E+00	-4.984E-17	8.376E-18
4.180E-10	0.000E+00	2.741E-17	2.050E-18
4.200E-10	0.000E+00	-4.128E-17	5.415E-18
4.220E-10	0.000E+00	-5.432E-17	1.593E-17
4.240E-10	0.000E+00	-8.292E-17	1.470E-17
4.260E-10	0.000E+00	1.675E-17	1.339E-17
4.280E-10	0.000E+00	3.123E-17	3.373E-18
4.300E-10	0.000E+00	-4.430E-17	9.909E-18
4.320E-10	0.000E+00	-7.360E-18	4.555E-19
4.340E-10	0.000E+00	5.863E-17	-2.295E-18
4.360E-10	0.000E+00	-2.932E-17	4.442E-18
4.380E-10	0.000E+00	1.461E-17	1.349E-18
4.400E-10	0.000E+00	-8.351E-17	1.429E-17
4.420E-10	0.000E+00	3.016E-18	8.429E-18
4.440E-10	0.000E+00	2.227E-17	-2.554E-18
4.460E-10	0.000E+00	8.481E-18	3.115E-18
4.480E-10	0.000E+00	-1.491E-17	-1.471E-18
4.500E-10	0.000E+00	2.104E-17	4.333E-19
4.520E-10	0.000E+00	3.789E-17	-2.853E-18
4.540E-10	0.000E+00	-3.274E-18	8.776E-18
4.560E-10	0.000E+00	-5.039E-17	7.746E-18
4.580E-10	0.000E+00	-4.768E-18	9.183E-18
4.600E-10	0.000E+00	7.153E-17	4.907E-18
4.620E-10	0.000E+00	6.320E-18	2.046E-18
4.640E-10	0.000E+00	-4.301E-17	1.294E-17
4.660E-10	0.000E+00	-3.627E-18	5.028E-18
4.680E-10	0.000E+00	2.366E-17	1.101E-17
4.700E-10	0.000E+00	-3.908E-17	5.956E-18
4.720E-10	0.000E+00	-2.971E-17	7.977E-18
4.740E-10	0.000E+00	-4.019E-17	1.611E-17
4.760E-10	0.000E+00	3.591E-17	9.271E-18
4.780E-10	0.000E+00	3.093E-18	7.284E-18
4.800E-10	0.000E+00	-1.366E-17	6.587E-18
4.820E-10	0.000E+00	2.818E-17	3.760E-18
4.840E-10	0.000E+00	1.017E-17	-1.382E-18
4.860E-10	0.000E+00	-8.129E-18	1.999E-18
4.880E-10	0.000E+00	-1.206E-17	-1.206E-18
4.900E-10	0.000E+00	3.532E-17	9.073E-18
4.920E-10	0.000E+00	6.898E-17	1.611E-19
4.940E-10	0.000E+00	2.441E-17	7.566E-18
4.960E-10	0.000E+00	-1.867E-17	4.940E-18
4.980E-10	0.000E+00	4.307E-18	1.300E-17
5.000E-10	0.000E+00	6.833E-18	6.368E-18
5.020E-10	0.000E+00	-2.306E-19	6.064E-18
5.040E-10	0.000E+00	-2.279E-17	8.169E-18
5.060E-10	0.000E+00	1.444E-18	1.207E-17
5.080E-10	0.000E+00	1.253E-17	1.176E-18
5.100E-10	0.000E+00	3.909E-17	7.870E-18
